Subsets,Elements,Edge prob,Seconds used,Loss,Solution
191.0,260.0,0.18,8.0,24.37,20.0
112.0,156.0,0.55,0.0,24.55,5.0
405.0,411.0,0.11,18.0,17.88,44.0
330.0,141.0,0.84,0.0,10.19,3.0
245.0,195.0,0.89,0.0,6.25,3.0
264.0,297.0,0.94,0.0,196.53,3.0
453.0,500.0,0.25,6.0,62.99,18.0
406.0,346.0,0.61,1.0,37.67,6.0
141.0,463.0,0.65,0.0,8.27,6.0
494.0,318.0,0.8,0.0,19.66,4.0
273.0,439.0,0.99,0.0,196.53,2.0
160.0,244.0,0.81,0.0,3.59,3.0
398.0,409.0,0.51,2.0,234.66,10.0
336.0,380.0,0.64,0.0,29.85,7.0
346.0,289.0,0.7,0.0,196.53,5.0
334.0,242.0,0.45,3.0,110.63,12.0
347.0,256.0,0.29,4.0,198.52,14.0
151.0,171.0,0.3,3.0,98.02,16.0
110.0,213.0,0.85,0.0,25.0,4.0
209.0,102.0,0.22,4.0,41.61,17.0
406.0,135.0,0.87,0.0,24.66,3.0
280.0,212.0,0.24,3.0,18.78,16.0
353.0,166.0,0.29,1.0,14.45,12.0
324.0,124.0,0.26,2.0,25.97,13.0
126.0,418.0,0.71,0.0,8.45,5.0
465.0,419.0,0.28,5.0,18.21,18.0
283.0,159.0,0.06,16.0,22.79,50.0
248.0,270.0,0.63,0.0,23.76,5.0
331.0,382.0,0.4,2.0,20.5,12.0
261.0,430.0,0.98,0.0,25.17,2.0
441.0,216.0,0.06,16.0,20.11,50.0
460.0,481.0,0.23,7.0,20.48,20.0
455.0,339.0,0.72,1.0,26.13,6.0
314.0,490.0,0.5,2.0,17.67,9.0
449.0,399.0,0.6,1.0,24.6,6.0
118.0,257.0,0.88,0.0,24.45,3.0
222.0,443.0,0.78,0.0,13.68,4.0
446.0,389.0,0.81,0.0,21.13,4.0
386.0,274.0,0.87,0.0,15.15,3.0
239.0,278.0,0.71,0.0,2.47,5.0
180.0,240.0,0.24,4.0,19.2,20.0
329.0,340.0,0.45,2.0,15.57,12.0
282.0,430.0,0.49,1.0,19.57,10.0
165.0,126.0,0.29,1.0,18.97,13.0
348.0,106.0,0.14,5.0,26.14,21.0
208.0,378.0,0.87,0.0,22.41,4.0
400.0,487.0,0.08,18.0,20.08,50.0
409.0,104.0,0.3,4.0,25.12,13.0
312.0,243.0,0.35,3.0,21.94,11.0
276.0,230.0,0.29,3.0,20.75,14.0
286.0,459.0,0.68,0.0,17.83,6.0
430.0,362.0,0.68,0.0,17.79,6.0
413.0,146.0,0.0,44.0,22.85,141.0
262.0,153.0,0.46,1.0,23.38,8.0
229.0,433.0,0.71,0.0,24.3,5.0
202.0,434.0,0.41,1.0,25.36,12.0
373.0,312.0,0.78,0.0,27.59,4.0
264.0,229.0,0.64,0.0,23.32,5.0
139.0,149.0,0.44,0.0,20.29,8.0
349.0,463.0,0.74,1.0,30.71,5.0
364.0,303.0,0.08,20.0,25.58,45.0
276.0,393.0,0.59,2.0,14.1,7.0
492.0,321.0,0.89,1.0,24.63,4.0
256.0,364.0,0.13,12.0,61.33,31.0
192.0,457.0,0.12,11.0,18.0,36.0
